Anathemancer, ARB
Jaces Phantasm, M13
Jayemdae Tome, M13
Kindled Fury, M13
Kitesail, M13
Knight of Glory, M13
Knight of Infamy, M13
Kraken Hatchling, M13
Krenko Mob Boss, M13
Krenkos Command, M13
Liliana of the Dark Realms, M13
Lilianas Shade, M13
Magmaquake, M13
Mark of Mutiny, M13
Mark of the Vampire, M13
Master of the Pearl Trident, M13
Merfolk of the Pearl Trident, M13
Mind Rot, M13
Mind Sculpt, M13
Mindclaw Shaman, M13
Mogg Flunkies, M13
Mountain, M13
Murder, M13
Mutilate, M13
Mwonvuli Beast Tracker, M13
Naturalize, M13
Nefarox Overlord of Grixis, M13
Negate, M13
Nicol Bolas Planeswalker, M13
Oblivion Ring, M13
Odric Master Tactician, M13
Omniscience, M13
Pacifism, M13
Phylactery Lich, M13
Phyrexian Hulk, M13
Pillarfield Ox, M13
Plains, M13
Planar Cleansing, M13
Plummet, M13
Predatory Rampage, M13
Prey Upon, M13
Primal Clay, M13
Primal Huntbeast, M13
Primordial Hydra, M13
Prized Elephant, M13
Public Execution, M13
Quirion Dryad, M13
Rain of Blades, M13
Rancor, M13
Rangers Path, M13
Ravenous Rats, M13
Reckless Brute, M13
Redirect, M13
Reliquary Tower, M13
Reverberate, M13
Revive, M13
Rewind, M13
Rhox Faithmender, M13
Ring of Evos Isle, M13
Ring of Kalonia, M13
Ring of Thune, M13
Ring of Valkas, M13
Ring of Xathrid, M13
Rise from the Grave, M13
Roaring Primadox, M13
Rootbound Crag, M13
Rummaging Goblin, M13
Safe Passage, M13
Sands of Delirium, M13
Scroll Thief, M13
Searing Spear, M13
Sentinel Spider, M13
Serpents Gift, M13
Serra Angel, M13
Serra Avatar, M13
Serra Avenger, M13
Servant of Nefarox, M13
Shimian Specter, M13
Show of Valor, M13
Sign in Blood, M13
Silklash Spider, M13
Silvercoat Lion, M13
Sleep, M13
Slumbering Dragon, M13
Smelt, M13
Spelltwine, M13
Sphinx of Uthuun, M13
Spiked Baloth, M13
Staff of Nin, M13
Stormtide Leviathan, M13
Stuffy Doll, M13
Sublime Archangel, M13
Sunpetal Grove, M13
Swamp, M13
Switcheroo, M13
Talrand Sky Summoner, M13
Talrands Invocation, M13
Thragtusk, M13
Thundermaw Hellkite, M13
Timberpack Wolf, M13
Titanic Growth, M13
Torch Fiend, M13
Tormented Soul, M13
Tormods Crypt, M13
Touch of the Eternal, M13
Trading Post, M13
Tricks of the Trade, M13
Trumpet Blast, M13
Turn to Slag, M13
Unsummon, M13
Vampire Nighthawk, M13
Vampire Nocturnus, M13
Vastwood Gorger, M13
Vedalken Entrancer, M13
Veilborn Ghoul, M13
Vile Rebirth, M13
Void Stalker, M13
Volcanic Geyser, M13
Volcanic Strength, M13
Walking Corpse, M13
Wall of Fire, M13
War Falcon, M13
War Priest of Thune, M13
Warclamp Mastiff, M13
Watercourser, M13
Welkin Tern, M13
Wild Guess, M13
Wind Drake, M13
Wits End, M13
Worldfire, M13
Xathrid Gorgon, M13
Yeva Natures Herald, M13
Yevas Forcemage, M13
Zombie Goliath, M13
Academy Raider, M14
Accorders Shield, M14
Accursed Spirit, M14
Act of Treason, M14
Advocate of the Beast, M14
Air Servant, M14
Ajani Caller of the Pride, M14
Ajanis Chosen, M14
Altars Reap, M14
Angelic Accord, M14
Angelic Wall, M14
Archaeomancer, M14
Archangel of Thune, M14
Armored Cancrix, M14
Artificers Hex, M14
Auramancer, M14
Awaken the Ancient, M14
Banisher Priest, M14
Barrage of Expendables, M14
Battle Sliver, M14
Blessing, M14
Blightcaster, M14
Blood Bairn, M14
Blur Sliver, M14
Bogbrew Witch, M14
Bonescythe Sliver, M14
Bramblecrush, M14
Brave the Elements, M14
Briarpack Alpha, M14
Brindle Boar, M14
Bubbling Cauldron, M14
Burning Earth, M14
Cancel, M14
Canyon Minotaur, M14
Capashen Knight, M14
Celestial Flare, M14
Chandra Pyromaster, M14
Chandras Outrage, M14
Chandras Phoenix, M14
Charging Griffin, M14
Child of Night, M14
Claustrophobia, M14
Clone, M14
Colossal Whale, M14
Congregate, M14
Coral Merfolk, M14
Corpse Hauler, M14
Corrupt, M14
Cyclops Tyrant, M14
Dark Favor, M14
Dark Prophecy, M14
Darksteel Forge, M14
Darksteel Ingot, M14
Dawnstrike Paladin, M14
Deadly Recluse, M14
Deathgaze Cockatrice, M14
Demolish, M14
Devout Invocation, M14
Diabolic Tutor, M14
Dismiss into Dream, M14
Disperse, M14
Divination, M14
Divine Favor, M14
Domestication, M14
Doom Blade, M14
Door of Destinies, M14
Dragon Egg, M14
Dragon Hatchling, M14
Duress, M14
Elite Arcanist, M14
Elixir of Immortality, M14
Elvish Mystic, M14
Encroaching Wastes, M14
Enlarge, M14
Essence Scatter, M14
Festering Newt, M14
Fiendslayer Paladin, M14
Fireshrieker, M14
Flames of the Firebrand, M14
Fleshpulper Giant, M14
Fog, M14
Forest, M14
Fortify, M14
Frost Breath, M14
Galerider Sliver, M14
Garruk Caller of Beasts, M14
Garruks Horde, M14
Giant Growth, M14
Giant Spider, M14
Gladecover Scout, M14
Glimpse the Future, M14
Gnawing Zombie, M14
Goblin Diplomats, M14
Goblin Shortcutter, M14
Griffin Sentinel, M14
Grim Return, M14
Groundshaker Sliver, M14
Guardian of the Ages, M14
Haunted Plate Mail, M14
Hive Stirrings, M14
Howl of the Night Pack, M14
Hunt the Weak, M14
Illusionary Armor, M14
Imposing Sovereign, M14
Indestructibility, M14
Into the Wilds, M14
Island, M14
Jace Memory Adept, M14
Jaces Mindseeker, M14
Kalonian Hydra, M14
Kalonian Tusker, M14
Lava Axe, M14
Lay of the Land, M14
Lifebane Zombie, M14
Lightning Talons, M14
Liliana of the Dark Realms, M14
Lilianas Reaver, M14
Liturgy of Blood, M14
Manaweft Sliver, M14
Marauding Maulhorn, M14
Mark of the Vampire, M14
Master of Diversion, M14
Megantic Sliver, M14
Merfolk Spy, M14
Messenger Drake, M14
Millstone, M14
Mind Rot, M14
Mindsparker, M14
Minotaur Abomination, M14
Molten Birth, M14
Mountain, M14
Mutavault, M14
Naturalize, M14
Negate, M14
Nephalia Seakite, M14
Nightmare, M14
Nightwing Shade, M14
Oath of the Ancient Wood, M14
Ogre Battledriver, M14
Opportunity, M14
Pacifism, M14
Path of Bravery, M14
Pay No Heed, M14
Phantom Warrior, M14
Pillarfield Ox, M14
Pitchburn Devils, M14
Plains, M14
Planar Cleansing, M14
Plummet, M14
Predatory Sliver, M14
Primeval Bounty, M14
Pyromancers Gauntlet, M14
Quag Sickness, M14
Quicken, M14
Rangers Guile, M14
Ratchet Bomb, M14
Regathan Firecat, M14
Ring of Three Wishes, M14
Rise of the Dark Realms, M14
Rod of Ruin, M14
Rootwalla, M14
Rumbling Baloth, M14
Sanguine Bond, M14
Savage Summoning, M14
Scavenging Ooze, M14
Scourge of Valkas, M14
Scroll Thief, M14
Seacoast Drake, M14
Seismic Stomp, M14
Sengir Vampire, M14
Sensory Deprivation, M14
Sentinel Sliver, M14
Seraph of the Sword, M14
Serra Angel, M14
Shadowborn Apostle, M14
Shadowborn Demon, M14
Shimmering Grotto, M14
Shivan Dragon, M14
Shivs Embrace, M14
Shock, M14
Show of Valor, M14
Shrivel, M14
Siege Mastodon, M14
Silence, M14
Sliver Construct, M14
Smelt, M14
Solemn Offering, M14
Soulmender, M14
Spell Blast, M14
Sporemound, M14
Staff of the Death Magus, M14
Staff of the Flame Magus, M14
Staff of the Mind Magus, M14
Staff of the Sun Magus, M14
Staff of the Wild Magus, M14
Steelform Sliver, M14
Stonehorn Chanter, M14
Striking Sliver, M14
Strionic Resonator, M14
Suntail Hawk, M14
Swamp, M14
Syphon Sliver, M14
Tenacious Dead, M14
Thorncaster Sliver, M14
Thunder Strike, M14
Tidebinder Mage, M14
Time Ebb, M14
Tome Scour, M14
Trading Post, M14
Trained Condor, M14
Traumatize, M14
Trollhide, M14
Undead Minotaur, M14
Vampire Warlord, M14
Vastwood Hydra, M14
Verdant Haven, M14
Vial of Poison, M14
Vile Rebirth, M14
Volcanic Geyser, M14
Voracious Wurm, M14
Wall of Frost, M14
Wall of Swords, M14
Warden of Evos Isle, M14
Water Servant, M14
Wild Guess, M14
Wild Ricochet, M14
Windreader Sphinx, M14
Windstorm, M14
Witchstalker, M14
Woodborn Behemoth, M14
Wring Flesh, M14
Xathrid Necromancer, M14
Young Pyromancer, M14
Zephyr Charge, M14
Accursed Spirit, M15
Act on Impulse, M15
Aegis Angel, M15
Aeronaut Tinkerer, M15
therspouts, M15
Aggressive Mining, M15
Ajani Steadfast, M15
Ajanis Pridemate, M15
Altac Bloodseeker, M15
Amphin Pathmage, M15
Ancient Silverback, M15
Avacyn Guardian Angel, M15
Avarice Amulet, M15
Back to Nature, M15
Battle Mastery, M15
Battlefield Forge, M15
Belligerent Sliver, M15
Black Cat, M15
Blastfire Bolt, M15
Blood Host, M15
Boonweaver Giant, M15
Borderland Marauder, M15
Brawlers Plate, M15
Bronze Sable, M15
Brood Keeper, M15
Burning Anger, M15
Cancel, M15
Carnivorous MossBeast, M15
Carrion Crow, M15
Caustic Tar, M15
Caves of Koilos, M15
Centaur Courser, M15
Chandra Pyromaster, M15
Charging Rhino, M15
Chasm Skulker, M15
Chief Engineer, M15
Child of Night, M15
Chord of Calling, M15
Chronostutter, M15
Circle of Flame, M15
Clear a Path, M15
Cone of Flame, M15
Congregate, M15
Constricting Sliver, M15
Coral Barrier, M15
Covenant of Blood, M15
Crippling Blight, M15
Crowds Favor, M15
Crucible of Fire, M15
Cruel Sadist, M15
Darksteel Citadel, M15
Dauntless River Marshal, M15
Devouring Light, M15
Diffusion Sliver, M15
Dissipate, M15
Divination, M15
Divine Favor, M15
Divine Verdict, M15
Elvish Mystic, M15
Encrust, M15
Endless Obedience, M15
Ensoul Artifact, M15
Ephemeral Shields, M15
Eternal Thirst, M15
Evolving Wilds, M15
Feast on the Fallen, M15
Feral Incarnation, M15
Festergloom, M15
First Response, M15
Flesh to Dust, M15
Forest, M15
Forge Devil, M15
Foundry Street Denizen, M15
Frenzied Goblin, M15
Frost Lynx, M15
Fugitive Wizard, M15
Furnace Whelp, M15
Gargoyle Sentinel, M15
Garruk Apex Predator, M15
Garruks Packleader, M15
Gather Courage, M15
Geist of the Moors, M15
Generator Servant, M15
Genesis Hydra, M15
Glacial Crasher, M15
Goblin Kaboomist, M15
Goblin Rabblemaster, M15
Goblin Roughrider, M15
Gravedigger, M15
Grindclock, M15
Hammerhand, M15
Haunted Plate Mail, M15
Heat Ray, M15
Heliods Pilgrim, M15
Hoarding Dragon, M15
Hornet Nest, M15
Hornet Queen, M15
Hot Soup, M15
Hunt the Weak, M15
Hunters Ambush, M15
Hushwing Gryff, M15
Hydrosurge, M15
Illusory Angel, M15
In Garruks Wake, M15
Indulgent Tormentor, M15
Inferno Fist, M15
Inspired Charge, M15
Into the Void, M15
Invasive Species, M15
Invisibility, M15
Island, M15
Jace the Living Guildpact, M15
Jaces Ingenuity, M15
Jalira Master Polymorphist, M15
Jorubai Murk Lurker, M15
Juggernaut, M15
Kalonian Twingrove, M15
Kapsho Kitefins, M15
Kinsbaile Skirmisher, M15
Kird Chieftain, M15
Krenkos Enforcer, M15
Kurkesh Onakke Ancient, M15
Lava Axe, M15
Leeching Sliver, M15
Lifes Legacy, M15
Lightning Strike, M15
Liliana Vess, M15
Living Totem, M15
Llanowar Wastes, M15
Mahamoti Djinn, M15
Marked by Honor, M15
Mass Calcify, M15
Master of Predicaments, M15
Meditation Puzzle, M15
Mercurial Pretender, M15
Meteorite, M15
Midnight Guard, M15
Might Makes Right, M15
Military Intelligence, M15
Mind Rot, M15
Mind Sculpt, M15
Miners Bane, M15
Mountain, M15
Naturalize, M15
Necrobite, M15
Necrogen Scudder, M15
Necromancers Assistant, M15
Necromancers Stockpile, M15
Negate, M15
Netcaster Spider, M15
Nightfire Giant, M15
Nightmare, M15
Nimbus of the Isles, M15
Nissa Worldwaker, M15
Nissas Expedition, M15
Ob Nixilis Unshackled, M15
Obelisk of Urd, M15
Oppressive Rays, M15
Oreskos Swiftclaw, M15
Ornithopter, M15
Overwhelm, M15
Paragon of Eternal Wilds, M15
Paragon of Fierce Defiance, M15
Paragon of Gathering Mists, M15
Paragon of New Dawns, M15
Paragon of Open Graves, M15
Peel from Reality, M15
Perilous Vault, M15
Phyrexian Revoker, M15
Phytotitan, M15
Pillar of Light, M15
Plains, M15
Plummet, M15
Polymorphists Jest, M15
Preeminent Captain, M15
Profane Memento, M15
Quickling, M15
Radiant Fountain, M15
Raise the Alarm, M15
Rangers Guile, M15
Razorfoot Griffin, M15
Reclamation Sage, M15
Research Assistant, M15
Resolute Archangel, M15
Restock, M15
Return to the Ranks, M15
Roaring Primadox, M15
Rogues Gloves, M15
Rotfeaster Maggot, M15
Rummaging Goblin, M15
Runeclaw Bear, M15
Sacred Armory, M15
Sanctified Charge, M15
Satyr Wayfinder, M15
Scrapyard Mongrel, M15
Scuttling Doom Engine, M15
Seismic Strike, M15
Selfless Cathar, M15
Sengir Vampire, M15
Seraph of the Masses, M15
Serra Angel, M15
Shadowcloak Vampire, M15
Shaman of Spring, M15
Shield of the Avatar, M15
Shivan Dragon, M15
Shivan Reef, M15
Shrapnel Blast, M15
Siege Dragon, M15
Siege Wurm, M15
Sign in Blood, M15
Sliver Hive, M15
Sliver Hivelord, M15
Solemn Offering, M15
Soul of Innistrad, M15
Soul of New Phyrexia, M15
Soul of Ravnica, M15
Soul of Shandalar, M15
Soul of Theros, M15
Soul of Zendikar, M15
Soulmender, M15
Spectra Ward, M15
Spirit Bonds, M15
Stab Wound, M15
Staff of the Death Magus, M15
Staff of the Flame Magus, M15
Staff of the Mind Magus, M15
Staff of the Sun Magus, M15
Staff of the Wild Magus, M15
Stain the Mind, M15
Statute of Denial, M15
Stoke the Flames, M15
Stormtide Leviathan, M15
Sunblade Elf, M15
Sungrace Pegasus, M15
Swamp, M15
Terra Stomper, M15
The Chain Veil, M15
Thundering Giant, M15
Tireless Missionaries, M15
Titanic Growth, M15
Torch Fiend, M15
Tormods Crypt, M15
Triplicate Spirits, M15
Turn to Frog, M15
Typhoid Rats, M15
Tyrants Machine, M15
Ulcerate, M15
Undergrowth Scavenger, M15
Unmake the Graves, M15
Urborg Tomb of Yawgmoth, M15
Venom Sliver, M15
Verdant Haven, M15
Vineweft, M15
Void Snare, M15
Walking Corpse, M15
Wall of Essence, M15
Wall of Fire, M15
Wall of Frost, M15
Wall of Limbs, M15
Wall of Mulch, M15
Warden of the Beyond, M15
Waste Not, M15
Welkin Tern, M15
WillForged Golem, M15
Witchs Familiar, M15
Xathrid Slyblade, M15
Yavimaya Coast, M15
Yisan the Wanderer Bard, M15
Zof Shade, M15
Abbot of Keral Keep, ORI
Acolyte of the Inferno, ORI
Act of Treason, ORI
Aegis Angel, ORI
Aerial Volley, ORI
Akroan Jailer, ORI
Akroan Sergeant, ORI
Alchemists Vial, ORI
Alhammarret High Arbiter, ORI
Alhammarrets Archive, ORI
Ampryn Tactician, ORI
Anchor to the ther, ORI
Angels Tomb, ORI
Animists Awakening, ORI
Anointer of Champions, ORI
Archangel of Tithes, ORI
Artificers Epiphany, ORI
Aspiring Aeronaut, ORI
Auramancer, ORI
Avaricious Dragon, ORI
Aven Battle Priest, ORI
Battlefield Forge, ORI
Bellows Lizard, ORI
Blazing Hellhound, ORI
Blessed Spirits, ORI
Blightcaster, ORI
BloodCursed Knight, ORI
Boggart Brute, ORI
Bonded Construct, ORI
Bone to Ash, ORI
Bounding Krasis, ORI
Brawlers Plate, ORI
Calculated Dismissal, ORI
Call of the Full Moon, ORI
Catacomb Slug, ORI
Caustic Caterpillar, ORI
Caves of Koilos, ORI
Celestial Flare, ORI
Chandra Fire of Kaladesh, ORI
Chandra Roaring Flame, ORI
Chandras Fury, ORI
Chandras Ignition, ORI
Charging Griffin, ORI
Chief of the Foundry, ORI
Citadel Castellan, ORI
Clash of Wills, ORI
Claustrophobia, ORI
Cleric of the Forward Order, ORI
Cobblebrute, ORI
Conclave Naturalists, ORI
Consecrated by Blood, ORI
Consuls Lieutenant, ORI
Cruel Revival, ORI
Dark Dabbling, ORI
Dark Petition, ORI
Days Undoing, ORI
Deadbridge Shaman, ORI
DeepSea Terror, ORI
Demolish, ORI
Demonic Pact, ORI
Despoiler of Souls, ORI
Disciple of the Ring, ORI
Disperse, ORI
Displacement Wave, ORI
Divine Verdict, ORI
Dragon Fodder, ORI
Dreadwaters, ORI
Dwynen GiltLeaf Daen, ORI
Dwynens Elite, ORI
Eagle of the Watch, ORI
Elemental Bond, ORI
Elvish Visionary, ORI
Embermaw Hellion, ORI
Enlightened Ascetic, ORI
Enshrouding Mist, ORI
Enthralling Victor, ORI
Ereboss Titan, ORI
Evolutionary Leap, ORI
Evolving Wilds, ORI
Exquisite Firecraft, ORI
Eyeblight Assassin, ORI
Eyeblight Massacre, ORI
Faerie Miscreant, ORI
Fetid Imp, ORI
Fiery Conclusion, ORI
Fiery Hellhound, ORI
Fiery Impulse, ORI
Firefiend Elemental, ORI
Flameshadow Conjuring, ORI
Flesh to Dust, ORI
Fleshbag Marauder, ORI
Forest, ORI
Foundry of the Consuls, ORI
Gaeas Revenge, ORI
Gather the Pack, ORI
Ghirapur ther Grid, ORI
Ghirapur Gearcrafter, ORI
Gideon BattleForged, ORI
Gideons Phalanx, ORI
GiltLeaf Winnower, ORI
Gnarlroot Trapper, ORI
Goblin Glory Chaser, ORI
Goblin Piledriver, ORI
GoldForged Sentinel, ORI
Grasp of the Hieromancer, ORI
Graveblade Marauder, ORI
Guardian Automaton, ORI
Guardians of Meletis, ORI
Hallowed Moonlight, ORI
Hangarback Walker, ORI
Harbinger of the Tides, ORI
Healing Hands, ORI
Heavy Infantry, ORI
Helm of the Gods, ORI
Herald of the Pantheon, ORI
Hitchclaw Recluse, ORI
Hixus Prison Warden, ORI
Honored Hierarch, ORI
Hydrolash, ORI
Infectious Bloodlust, ORI
Infernal Scarring, ORI
Infinite Obliteration, ORI
Into the Void, ORI
Iroass Champion, ORI
Island, ORI
Jace Telepath Unbound, ORI
Jace Vryns Prodigy, ORI
Jaces Sanctum, ORI
Jayemdae Tome, ORI
Jhessian Thief, ORI
Joraga Invocation, ORI
Knight of the Pilgrims Road, ORI
Knight of the White Orchid, ORI
Knightly Valor, ORI
Kothophed Soul Hoarder, ORI
Kytheon Hero of Akros, ORI
Kytheons Irregulars, ORI
Kytheons Tactics, ORI
Languish, ORI
Leaf Gilder, ORI
Lightning Javelin, ORI
Liliana Defiant Necromancer, ORI
Liliana Heretical Healer, ORI
Llanowar Empath, ORI
Llanowar Wastes, ORI
Macabre Waltz, ORI
MageRing Bully, ORI
MageRing Network, ORI
MageRing Responder, ORI
Magmatic Insight, ORI
Mahamoti Djinn, ORI
Malakir Cullblade, ORI
Managorger Hydra, ORI
Mantle of Webs, ORI
Maritime Guard, ORI
Meteorite, ORI
Might of the Masses, ORI
Mighty Leap, ORI
Mind Rot, ORI
Mizzium Meddler, ORI
Molten Vortex, ORI
Mountain, ORI
Murder Investigation, ORI
Nantuko Husk, ORI
Necromantic Summons, ORI
Negate, ORI
Nightmare, ORI
Nightsnare, ORI
Nissa Sage Animist, ORI
Nissa Vastwood Seer, ORI
Nissas Pilgrimage, ORI
Nissas Revelation, ORI
Nivix Barrier, ORI
Orbs of Warding, ORI
Orchard Spirit, ORI
Outland Colossus, ORI
Patron of the Valiant, ORI
Pharikas Disciple, ORI
Pia and Kiran Nalaar, ORI
Plains, ORI
Plummet, ORI
Possessed Skaab, ORI
Prickleboar, ORI
Priest of the Blood Rite, ORI
Prism Ring, ORI
Prized Unicorn, ORI
Psychic Rebuttal, ORI
Pyromancers Goggles, ORI
Rabid Bloodsucker, ORI
Ramroller, ORI
Ravaging Blaze, ORI
Read the Bones, ORI
Reave Soul, ORI
Reclaim, ORI
Reclusive Artificer, ORI
Relic Seeker, ORI
Returned Centaur, ORI
Revenant, ORI
Rhox Maulers, ORI
Ringwarden Owl, ORI
Rogues Passage, ORI
Runed Servitor, ORI
ScabClan Berserker, ORI
Scrapskin Drake, ORI
Screeching Skaab, ORI
Seismic Elemental, ORI
Send to Sleep, ORI
Sengir Vampire, ORI
Sentinel of the Eternal Watch, ORI
Separatist Voidmage, ORI
Serra Angel, ORI
Shadows of the Past, ORI
Shaman of the Pack, ORI
Shambling Ghoul, ORI
Shivan Dragon, ORI
Shivan Reef, ORI
Sigil of the Empty Throne, ORI
Sigil of Valor, ORI
Sigiled Starfish, ORI
Skaab Goliath, ORI
Skyraker Giant, ORI
Skysnare Spider, ORI
Smash to Smithereens, ORI
Somberwald Alpha, ORI
Soulblade Djinn, ORI
Sphinxs Tutelage, ORI
Stalwart Aven, ORI
Starfield of Nyx, ORI
Stratus Walk, ORI
Subterranean Scout, ORI
Suppression Bonds, ORI
Swamp, ORI
Swift Reckoning, ORI
Sword of the Animist, ORI
Sylvan Messenger, ORI
Tainted Remedy, ORI
Talent of the Telepath, ORI
Terra Stomper, ORI
The Great Aurora, ORI
Thopter Engineer, ORI
Thopter Spy Network, ORI
Thornbow Archer, ORI
Throwing Knife, ORI
Thunderclap Wyvern, ORI
Timberpack Wolf, ORI
Titanic Growth, ORI
Titans Strength, ORI
Topan Freeblade, ORI
Tormented Thoughts, ORI
TotemGuide Hartebeest, ORI
Touch of Moonglove, ORI
Tower Geist, ORI
Tragic Arrogance, ORI
Turn to Frog, ORI
Undead Servant, ORI
Undercity Troll, ORI
Unholy Hunger, ORI
Valeron Wardens, ORI
Valor in Akros, ORI
Vastwood Gorger, ORI
Veterans Sidearm, ORI
Vine Snare, ORI
Volcanic Rambler, ORI
Vryn Wingmare, ORI
War Horn, ORI
War Oracle, ORI
Watercourser, ORI
Weave Fate, ORI
Weight of the Underworld, ORI
Whirler Rogue, ORI
Wild Instincts, ORI
Willbreaker, ORI
Woodland Bellower, ORI
Yavimaya Coast, ORI
Yevas Forcemage, ORI
Yoked Ox, ORI
Zendikar Incarnate, ORI
Zendikars Roil, ORI
Acidic Slime, CMD
Acorn Catapult, CMD
thersnipe, CMD
Afterlife, CMD
Akoum Refuge, CMD
Akroma Angel of Fury, CMD
Akromas Vengeance, CMD
Alliance of Arms, CMD
Angel of Despair, CMD
Angelic Arbiter, CMD
Anger, CMD
Animar Soul of Elements, CMD
Aquastrand Spider, CMD
Arbiter of Knollridge, CMD
Archangel of Strife, CMD
Armillary Sphere, CMD
Artisan of Kozilek, CMD
Attrition, CMD
Aura Shards, CMD
Austere Command, CMD
Avatar of Fury, CMD
Avatar of Slaughter, CMD
Avatar of Woe, CMD
Awakening Zone, CMD
Azorius Chancery, CMD
Azorius Guildmage, CMD
Baloth Woodcrasher, CMD
Barren Moor, CMD
Basandra Battle Seraph, CMD
Bathe in Light, CMD
Bestial Menace, CMD
Bladewing the Risen, CMD
Bojuka Bog, CMD
Boros Garrison, CMD
Boros Guildmage, CMD
Boros Signet, CMD
Brainstorm, CMD
Brawn, CMD
Breath of Darigaaz, CMD
Brion Stoutarm, CMD
Buried Alive, CMD
Butcher of Malakir, CMD
Call the Skybreaker, CMD
Celestial Force, CMD
Chain Reaction, CMD
Champions Helm, CMD
Chaos Warp, CMD
Chartooth Cougar, CMD
Chorus of the Conclave, CMD
Chromeshell Crab, CMD
Cleansing Beam, CMD
Cobra Trap, CMD
Collective Voyage, CMD
Colossal Might, CMD
Comet Storm, CMD
Command Tower, CMD
Congregate, CMD
Conundrum Sphinx, CMD
Court Hussar, CMD
Crescendo of War, CMD
Cultivate, CMD
Damia Sage of Stone, CMD
Dark Hatchling, CMD
Darksteel Ingot, CMD
Deadly Recluse, CMD
Deadwood Treefolk, CMD
Death by Dragons, CMD
Death Mutation, CMD
Desecrator Hag, CMD
Diabolic Tutor, CMD
Dimir Aqueduct, CMD
Dimir Signet, CMD
Disaster Radius, CMD
Dominus of Fealty, CMD
Doom Blade, CMD
Dragon Whelp, CMD
Dread Cacodemon, CMD
Dreadship Reef, CMD
Dreamborn Muse, CMD
Dreamstone Hedron, CMD
Duergar HedgeMage, CMD
Earthquake, CMD
Edric Spymaster of Trest, CMD
Electrolyze, CMD
Elvish Aberration, CMD
Eternal Witness, CMD
Evincars Justice, CMD
Evolving Wilds, CMD
Explosive Vegetation, CMD
Extractor Demon, CMD
Fact or Fiction, CMD
Fallen Angel, CMD
False Prophet, CMD
Faultgrinder, CMD
Fellwar Stone, CMD
Fertilid, CMD
Fierce Empath, CMD
Fire  Ice, CMD
Firespout, CMD
Fists of Ironwood, CMD
Flametongue Kavu, CMD
Fleshbag Marauder, CMD
Flusterstorm, CMD
Fog Bank, CMD
Footbottom Feast, CMD
Forest, CMD
Forgotten Cave, CMD
Fungal Reaches, CMD
Furnace Whelp, CMD
Garruk Wildspeaker, CMD
Ghave Guru of Spores, CMD
Ghostly Prison, CMD
Goblin Cadets, CMD
Golgari Guildmage, CMD
Golgari Rot Farm, CMD
Golgari Signet, CMD
Gomazoa, CMD
Grave Pact, CMD
Gravedigger, CMD
Gruul Signet, CMD
Gruul Turf, CMD
Guard Gomazoa, CMD
Gwyllion HedgeMage, CMD
Harmonize, CMD
Hex, CMD
Homeward Path, CMD
Hornet Queen, CMD
Hour of Reckoning, CMD
Howling Mine, CMD
Hull Breach, CMD
Hunting Pack, CMD
Hydra Omnivore, CMD
Insurrection, CMD
Intet the Dreamer, CMD
Invigorate, CMD
Island, CMD
Izzet Boilerworks, CMD
Izzet Chronarch, CMD
Izzet Signet, CMD
Jtun Grunt, CMD
Journey to Nowhere, CMD
Jwar Isle Refuge, CMD
Kaalia of the Vast, CMD
Karador Ghost Chieftain, CMD
Kazandu Refuge, CMD
Kodamas Reach, CMD
Krosan Tusker, CMD
Lash Out, CMD
Lhurgoyf, CMD
Lightkeeper of Emeria, CMD
Lightning Greaves, CMD
Living Death, CMD
Lonely Sandbar, CMD
Magmatic Force, CMD
Magus of the Vineyard, CMD
Malfegor, CMD
ManaCharged Dragon, CMD
Martyrs Bond, CMD
Master Warcraft, CMD
Memory Erosion, CMD
Minds Aglow, CMD
Molten Slagheap, CMD
Monk Realist, CMD
Mortify, CMD
Mortivore, CMD
Mother of Runes, CMD
Mountain, CMD
Mulldrifter, CMD
Murmurs from Beyond, CMD
Nantuko Husk, CMD
Necrogenesis, CMD
Nemesis Trap, CMD
Nezumi Graverobber, CMD
Nin the Pain Artist, CMD
Nucklavee, CMD
Numot the Devastator, CMD
Oblation, CMD
Oblivion Ring, CMD
Oblivion Stone, CMD
Oni of Wild Places, CMD
Orims Thunder, CMD
Oros the Avenger, CMD
Orzhov Basilica, CMD
Orzhov Guildmage, CMD
Orzhov Signet, CMD
Path to Exile, CMD
Patron of the Nezumi, CMD
Penumbra Spider, CMD
Perilous Research, CMD
Plains, CMD
Plumeveil, CMD
Pollen Lullaby, CMD
Prison Term, CMD
Propaganda, CMD
Prophetic Bolt, CMD
Prophetic Prism, CMD
Punishing Fire, CMD
Pyrohemia, CMD
Rakdos Carnarium, CMD
Rakdos Signet, CMD
Rapacious One, CMD
Ray of Command, CMD
Razorjaw Oni, CMD
Reins of Power, CMD
Reiver Demon, CMD
Relic Crush, CMD
Repulse, CMD
Return to Dust, CMD
Riddlekeeper, CMD
Righteous Cause, CMD
Riku of Two Reflections, CMD
Rise from the Grave, CMD
Ruhan of the Fomori, CMD
Ruination, CMD
Rupture Spire, CMD
SakuraTribe Elder, CMD
Savage Twister, CMD
Scattering Stroke, CMD
Scavenging Ooze, CMD
Scythe Specter, CMD
Secluded Steppe, CMD
Selesnya Evangel, CMD
Selesnya Guildmage, CMD
Selesnya Sanctuary, CMD
Selesnya Signet, CMD
Serra Angel, CMD
Sewer Nemesis, CMD
Shared Trauma, CMD
Shattered Angel, CMD
